motif_id	parent
MIFL
A	MIFL
B	MIFL
C	MIFL
D	MIFL
E	MIFL
F	MIFL
G	MIFL
H	MIFL
J	MIFL
K	MIFL
L	MIFL
M	MIFL
N	MIFL
P	MIFL
Q	MIFL
R	MIFL
S	MIFL
T	MIFL
U	MIFL
V	MIFL
W	MIFL
X	MIFL
Z	MIFL
J2470	J2450-J2499
J2490	J2450-J2499
J2500-J2549	J1700-J2749
J2550-J2599	J1700-J2749
J2600-J2649	J1700-J2749
J2650-J2699	J1700-J2749
J2700-J2749	J1700-J2749
J2750-J2799	J
K10	K
K30	K
K40	K
K50	K
K60	K
K70	K
K80	K
K90	K
K100-K299	K
K100	K100-K299
K110-K149	K100-K299
K110	K110-K149
K120	K110-K149
K130	K110-K149
K140	K110-K149
K150	K100-K299
K170	K100-K299
K200-K249	K100-K299
K200	K200-K249
K210	K200-K249
K220	K200-K249
K230	K200-K249
K250	K100-K299
K300-K499	K
K300	K300-K499
K310-K439	K300-K499
K310	K310-K439
K330	K310-K439
K360	K310-K439
K400	K310-K439
K420	K310-K439
K440-K499	K300-K499
K500-K699	K
K500	K500-K699
K510	K500-K699
K520	K500-K699
K540	K500-K699
K550	K500-K699
K580	K500-K699
K600	K500-K699
K620	K500-K699
K630	K500-K699
K640	K500-K699
K650	K500-K699
K700-K799	K
K700	K700-K799
K710	K700-K799
K730	K700-K799
K750	K700-K799
K770	K700-K799
K800-K999	K
K800	K800-K999
K810	K800-K999
K840	K800-K999
K850	K800-K999
K870	K800-K999
K890	K800-K999
K910	K800-K999
K930	K800-K999
K940	K800-K999
K950	K800-K999
K960	K800-K999
K1000-K1199	K
K1000	K1000-K1199
K1010	K1000-K1199
K1020	K1000-K1199
K1040	K1000-K1199
K1080	K1000-K1199
K1110	K1000-K1199
K1200-K1299	K
K1200	K1200-K1299
K1210	K1200-K1299
K1240	K1200-K1299
K1300-K1399	K
K1300	K1300-K1399
K1310	K1300-K1399
K1330	K1300-K1399
K1340	K1300-K1399
K1350	K1300-K1399
K1380	K1300-K1399
K1400-K1499	K
K1400	K1400-K1499
K1410	K1400-K1499
K1440	K1400-K1499
K1460	K1400-K1499
K1500-K1599	K
K1500	K1500-K1599
K1510	K1500-K1599
K1550	K1500-K1599
K1570	K1500-K1599
K1580	K1500-K1599
K1600-K1699	K
K1600	K1600-K1699
K1610	K1600-K1699
K1700-K2099	K
K1700-K1799	K1700-K2099
K1700	K1700-K1799
K1710	K1700-K1799
K1760	K1700-K1799
K1800-K1899	K1700-K2099
K1800	K1800-K1899
K1810	K1800-K1899
K1840	K1800-K1899
K1860	K1800-K1899
K1870	K1800-K1899
K1900-K1999	K1700-K2099
K1900	K1900-K1999
K1910	K1900-K1999
K1920	K1900-K1999
K1930	K1900-K1999
