motif_id	cultural_term
A132.12	Tonga: Gifford 57; Maori: Clark 163.
A132.13	Tonga: Beckwith Myth 131
A132.13	Gifford 79.
A132.14	Icel.: Boberg; Jewish: Neuman.
A132.15	Chinese: Eberhard FFC CXX 139.
A133	(cf. +A128.2). Irish myth: Cross; India: *Thompson-Balys.
A133.1	Hindu: Keith 33.
A133.2	Irish: MacCulloch Celtic 30; Irish myth: Cross.
A133.2.1	G'ntert Weltktsnig 293ff.; Hopkins JAOS XVI Proc.
A133.2.2	Jewish: Neuman.
A133.3	India: Thompson-Balys.
A134	Japanese: Anesaki 229; Hindu: Penzer I 144 n. 2.
A135	Hawaii: Beckwith Myth 29f.; Maori: Beckwith Myth 243.
A136.1.1	Icel.: MacCulloch Eddic 22 (Freya)
A136.1.1	109 (Frey).
A136.1.2.1	Icel.: MacCulloch Eddic 43.
A136.1.3	Hindu: Keith 111; India: *Thompson-Balys.
A136.1.4	Panchatantra (tr.
A136.1.4.1	India: Thompson-Balys.
A136.1.5	India: Thompson-Balys.
A136.1.6	India: Thompson-Balys.
A136.1.7	India: *Thompson-Balys.
A136.1.8	Icel.: MacCulloch Eddic 83
A136.1.8	126
A136.1.8	174.
A136.2	Icel.: MacCulloch Eddic 22 (Thor's goats
A136.2	Freya's cats)
A136.2	109 (Frey's boars); Greek: *Frazer Pausanias IV 142 (dragons).
A136.2.1	Greek: Sappho Ode to Aphrodite.
A136.2.2	Irish myth: Cross.
A136.3	India: Thompson-Balys.
A136.3.1	Jewish: Neuman.
A137	(cf. +A131). Irish myth: Cross.
A137.1	Irish myth: Cross; Icel.: Boberg; Gaster Thespis 135
A137.1	363.
A137.1.1	Irish myth: Cross.
A137.2	Irish myth: Cross.
A137.3	Irish myth: Cross.
A137.3.1	Irish myth: Cross.
A137.3.1.1	Irish myth: Cross.
A137.4	Irish myth: Cross.
A137.4.1	Hivaoa (Marquesas): Handy 116.
A137.5	Irish myth: Cross.
A137.6	Irish myth: Cross.
A137.7	(cf. +A132.6). Irish myth: Cross.
A137.8	India: Thompson-Balys.
A137.9	India: Thompson-Balys.
A137.10	Jewish: Neuman.
A137.11	Jewish: Neuman.
A137.12	Jewish: Neuman.
A137.13	Jewish: Neuman.
A137.14	Jewish: Neuman.
A137.14.1	Jewish: Neuman.
A137.14.1.1	Jewish: Neuman.
A137.14.2	Jewish: Neuman.
A137.14.3	Jewish: Neuman.
A137.14.4	Jewish: Neuman.
A137.15	Jewish: Neuman.
A137.16	(cf. +A124). Tahiti: Beckwith Myth 113.
A137.17	Jewish: Neuman.
A137.18	India: Thompson-Balys.
A138	Jewish: Neuman.
A139.1	(cf. +C432). Irish myth: Cross.
A139.2	India: Thompson-Balys.
A139.3	India: Thompson-Balys; Chinese: Eberhard FFC CXX 136.
A139.4	India: Thompson-Balys.
A139.5	Jewish: Neuman.
